Country,Year,Vulnerability,Readiness,Exposure,CompositeRisk
DMA,1997,0.44562803194744216,0.4567255347985348,0.368598,0.4846866052490514
DMA,1998,0.44397844600299596,0.4579351117216117,0.368598,0.48321302291315293
DMA,1999,0.4429895547658213,0.45825852197802197,0.368598,0.48249032406828396
DMA,2000,0.4418601481923684,0.459898510989011,0.368598,0.48115668451981664
DMA,2001,0.4365979221036217,0.4609324487179487,0.368598,0.47758577377499356
DMA,2002,0.4429483751945952,0.4624871172161172,0.368598,0.48077417823031027
DMA,2003,0.4370595752999968,0.4646634761904762,0.368598,0.47637035470380756
DMA,2004,0.4340934866624251,0.4597711007326007,0.368598,0.4765476517044148
DMA,2005,0.42792497324995166,0.4806821465201465,0.368598,0.46448212534191236
DMA,2006,0.42793567282462064,0.43737528937728937,0.368598,0.48181128794385664
DMA,2007,0.4247541267882023,0.44094696703296704,0.368598,0.47847368925973455
DMA,2008,0.4245702872469155,0.4526735073260073,0.368598,0.4736727694177464
DMA,2009,0.42472792760574385,0.45569874725274717,0.368598,0.47255725766234746
DMA,2010,0.4215952306649056,0.45258963553113546,0.368598,0.4719212841864892
DMA,2011,0.42152584208834,0.451578152014652,0.368598,0.47228424444714323
DMA,2012,0.42182441951277705,0.44590533516483516,0.368598,0.47473251764173213
DMA,2013,0.4178517427317223,0.45040591391941387,0.368598,0.4705486800712679
DMA,2014,0.41671790806890663,0.4590334450549451,0.368598,0.4664173668193659
DMA,2015,0.41405875358747823,0.45222284981684985,0.368598,0.467546112225747
DMA,2016,0.4136081381482145,0.4515928736263736,0.368598,0.4675277334383792
DMA,2017,0.41067386709719894,0.45193366117216116,0.368598,0.4656308557894549
DMA,2018,0.4072895601500588,0.4447725989010989,0.368598,0.4664646965295957
DMA,2019,0.4041016959221579,0.43425453846153844,0.368598,0.4687592021686794
DMA,2020,0.41681007311726853,0.43456053663003663,0.368598,0.4762618292183464
DMA,2021,0.4219887852000918,0.4356292527472527,0.368598,0.478941570021154
DMA,2022,0.4086631078125,0.4361210494505494,0.368598,0.4707494449072802
DMA,2023,0.40768965138451535,0.43709278754578756,0.368598,0.46977667581239424
DMA,2024,0.6749182784877817,0.6749182784877817,,0.5349836556975563
DMA,2025,0.6753111707189013,0.6753111707189013,,0.5350622341437803
DMA,2026,0.6766027789990383,0.6766027789990382,,0.5353205557998078
DMA,2027,0.6770391082811629,0.6770391082811629,,0.5354078216562326
DMA,2028,0.6782645666388174,0.6782645666388175,,0.5356529133277634
DMA,2029,0.67873767554268,0.67873767554268,,0.535747535108536
DMA,2030,0.6799036146487839,0.6799036146487839,,0.5359807229297567
DNK,1995,0.33264,0.6725893333333333,0.441267,0.3305482666666667
DNK,1996,0.32984775,0.674775,0.441267,0.32799865
DNK,1997,0.327476125,0.6759206666666667,0.441267,0.3261174083333333
DNK,1998,0.324474,0.6790146666666667,0.441267,0.32307853333333336
DNK,1999,0.322535625,0.6883266666666666,0.441267,0.31819070833333335
DNK,2000,0.321990625,0.696838,0.441267,0.314459175
DNK,2001,0.321850875,0.6993623333333333,0.441267,0.31336559166666667
DNK,2002,0.321711625,0.7053219999999999,0.441267,0.31089817500000005
DNK,2003,0.322029375,0.7144736666666667,0.441267,0.30742815833333337
DNK,2004,0.321424625,0.7236306666666668,0.441267,0.3034025083333333
DNK,2005,0.320887625,0.7226520000000001,0.441267,0.303471775
DNK,2006,0.320481875,0.7901583333333333,0.441267,0.2762257916666667
DNK,2007,0.32040487500000003,0.792015,0.441267,0.275436925
DNK,2008,0.319948,0.7886946666666667,0.441267,0.27649093333333336
DNK,2009,0.320575375,0.7900373333333333,0.441267,0.27633029166666667
DNK,2010,0.31947237500000003,0.793632,0.441267,0.274230625
DNK,2011,0.31879425,0.804321,0.441267,0.26954815
DNK,2012,0.317058875,0.8114426666666666,0.441267,0.26565825833333334
DNK,2013,0.32674375,0.821959,0.441267,0.26726265
DNK,2014,0.330373875,0.8204093333333334,0.441267,0.2700605916666666
DNK,2015,0.32931662500000003,0.8172306666666667,0.441267,0.27069770833333334
DNK,2016,0.329660375,0.8005599999999999,0.441267,0.277572225
DNK,2017,0.3274585,0.799149,0.441267,0.2768155
DNK,2018,0.33110449999999997,0.7944533333333333,0.441267,0.28088136666666663
DNK,2019,0.336197,0.7894403333333333,0.441267,0.2859420666666667
DNK,2020,0.33721675,0.7993803333333332,0.441267,0.2825779166666667
