Country,Year,Indicator,Value
AFG,2023,Capacity,0.673553
AFG,2023,Economic,0.213706
AFG,2023,Ecosystems,0.509272
AFG,2023,Food,0.581666
AFG,2023,Governance,0.159541
AFG,2023,Habitat,0.533118
AFG,2023,Health,0.817798
AFG,2023,Infrastructure,0.296134734939759
AFG,2023,Sensitivity,0.450774
AFG,2023,Social,0.355202
AFG,2023,Water,0.495727
AFG,2023,Exposure,0.480512
AFG,2023,Vulnerability,0.5447553418674699
AFG,2023,Readiness,0.24281633333333333
AFG,2023,CompositeRisk,0.6297266717871486
AFG,2024,Capacity,0.6749182784877817
AFG,2024,Economic,0.6749182784877817
AFG,2024,Ecosystems,0.6749182784877817
AFG,2024,Food,0.6749182784877817
AFG,2024,Governance,0.6749182784877817
AFG,2024,Habitat,0.6749182784877817
AFG,2024,Health,0.6749182784877817
AFG,2024,Infrastructure,0.6749182784877817
AFG,2024,Sensitivity,0.6749182784877817
AFG,2024,Social,0.6749182784877817
AFG,2024,Water,0.6749182784877817
AFG,2024,Exposure,
AFG,2024,Vulnerability,0.6749182784877817
AFG,2024,Readiness,0.6749182784877817
AFG,2024,CompositeRisk,0.5349836556975563
AFG,2025,Capacity,0.6753111707189013
AFG,2025,Economic,0.6753111707189013
AFG,2025,Ecosystems,0.6753111707189013
AFG,2025,Food,0.6753111707189013
AFG,2025,Governance,0.6753111707189013
AFG,2025,Habitat,0.6753111707189013
AFG,2025,Health,0.6753111707189013
AFG,2025,Infrastructure,0.6753111707189013
AFG,2025,Sensitivity,0.6753111707189013
AFG,2025,Social,0.6753111707189013
AFG,2025,Water,0.6753111707189013
AFG,2025,Exposure,
AFG,2025,Vulnerability,0.6753111707189013
AFG,2025,Readiness,0.6753111707189013
AFG,2025,CompositeRisk,0.5350622341437803
AFG,2026,Capacity,0.6766027789990383
AFG,2026,Economic,0.6766027789990383
AFG,2026,Ecosystems,0.6766027789990383
AFG,2026,Food,0.6766027789990383
AFG,2026,Governance,0.6766027789990383
AFG,2026,Habitat,0.6766027789990383
AFG,2026,Health,0.6766027789990383
AFG,2026,Infrastructure,0.6766027789990383
AFG,2026,Sensitivity,0.6766027789990383
AFG,2026,Social,0.6766027789990383
AFG,2026,Water,0.6766027789990383
AFG,2026,Exposure,
AFG,2026,Vulnerability,0.6766027789990383
AFG,2026,Readiness,0.6766027789990382
AFG,2026,CompositeRisk,0.5353205557998078
AFG,2027,Capacity,0.6770391082811629
AFG,2027,Economic,0.6770391082811629
AFG,2027,Ecosystems,0.6770391082811629
AFG,2027,Food,0.6770391082811629
AFG,2027,Governance,0.6770391082811629
AFG,2027,Habitat,0.6770391082811629
AFG,2027,Health,0.6770391082811629
AFG,2027,Infrastructure,0.6770391082811629
AFG,2027,Sensitivity,0.6770391082811629
AFG,2027,Social,0.6770391082811629
AFG,2027,Water,0.6770391082811629
AFG,2027,Exposure,
AFG,2027,Vulnerability,0.6770391082811629
AFG,2027,Readiness,0.6770391082811629
AFG,2027,CompositeRisk,0.5354078216562326
AFG,2028,Capacity,0.6782645666388174
AFG,2028,Economic,0.6782645666388174
AFG,2028,Ecosystems,0.6782645666388174
AFG,2028,Food,0.6782645666388174
AFG,2028,Governance,0.6782645666388174
AFG,2028,Habitat,0.6782645666388174
AFG,2028,Health,0.6782645666388174
AFG,2028,Infrastructure,0.6782645666388174
AFG,2028,Sensitivity,0.6782645666388174
AFG,2028,Social,0.6782645666388174
AFG,2028,Water,0.6782645666388174
AFG,2028,Exposure,
AFG,2028,Vulnerability,0.6782645666388174
AFG,2028,Readiness,0.6782645666388175
AFG,2028,CompositeRisk,0.5356529133277634
AFG,2029,Capacity,0.67873767554268
AFG,2029,Economic,0.67873767554268
AFG,2029,Ecosystems,0.67873767554268
AFG,2029,Food,0.67873767554268
AFG,2029,Governance,0.67873767554268
AFG,2029,Habitat,0.67873767554268
AFG,2029,Health,0.67873767554268
AFG,2029,Infrastructure,0.67873767554268
AFG,2029,Sensitivity,0.67873767554268
AFG,2029,Social,0.67873767554268
AFG,2029,Water,0.67873767554268
AFG,2029,Exposure,
AFG,2029,Vulnerability,0.67873767554268
AFG,2029,Readiness,0.67873767554268
AFG,2029,CompositeRisk,0.535747535108536
AFG,2030,Capacity,0.6799036146487839
AFG,2030,Economic,0.6799036146487839
AFG,2030,Ecosystems,0.6799036146487839
AFG,2030,Food,0.6799036146487839
AFG,2030,Governance,0.6799036146487839
AFG,2030,Habitat,0.6799036146487839
AFG,2030,Health,0.6799036146487839
AFG,2030,Infrastructure,0.6799036146487839
AFG,2030,Sensitivity,0.6799036146487839
AFG,2030,Social,0.6799036146487839
AFG,2030,Water,0.6799036146487839
AFG,2030,Exposure,
AFG,2030,Vulnerability,0.6799036146487839
AFG,2030,Readiness,0.6799036146487839
AFG,2030,CompositeRisk,0.5359807229297567
AGO,1995,Capacity,0.763313
AGO,1995,Economic,0.289057
AGO,1995,Ecosystems,0.544221
AGO,1995,Food,0.629926
AGO,1995,Governance,0.156605
AGO,1995,Habitat,0.636881
AGO,1995,Health,0.504004
AGO,1995,Infrastructure,0.317876
AGO,1995,Sensitivity,0.232965
AGO,1995,Social,0.086044
AGO,1995,Water,0.330404
AGO,1995,Exposure,0.543063
AGO,1995,Vulnerability,0.49494875
AGO,1995,Readiness,0.17723533333333333
AGO,1995,CompositeRisk,0.6260751166666667
AGO,1996,Capacity,0.764368
AGO,1996,Economic,0.289057
AGO,1996,Ecosystems,0.544782
AGO,1996,Food,0.628553
AGO,1996,Governance,0.156605
AGO,1996,Habitat,0.639227
AGO,1996,Health,0.504004
AGO,1996,Infrastructure,0.317876
AGO,1996,Sensitivity,0.233086
AGO,1996,Social,0.086042
AGO,1996,Water,0.330966
AGO,1996,Exposure,0.543063
AGO,1996,Vulnerability,0.49535775
AGO,1996,Readiness,0.17723466666666665
AGO,1996,CompositeRisk,0.6263207833333333
AGO,1997,Capacity,0.763915
AGO,1997,Economic,0.289057
AGO,1997,Ecosystems,0.543271
AGO,1997,Food,0.626749
AGO,1997,Governance,0.155139
AGO,1997,Habitat,0.641402
AGO,1997,Health,0.504004
AGO,1997,Infrastructure,0.317876
AGO,1997,Sensitivity,0.233121
AGO,1997,Social,0.086069
AGO,1997,Water,0.331512
AGO,1997,Exposure,0.543063
AGO,1997,Vulnerability,0.49523125
AGO,1997,Readiness,0.176755
AGO,1997,CompositeRisk,0.6264367500000001
AGO,1998,Capacity,0.76355
AGO,1998,Economic,0.289057
AGO,1998,Ecosystems,0.541992
AGO,1998,Food,0.624868
AGO,1998,Governance,0.153673
AGO,1998,Habitat,0.643447
AGO,1998,Health,0.504004
AGO,1998,Infrastructure,0.317876
AGO,1998,Sensitivity,0.233085
AGO,1998,Social,0.086083
AGO,1998,Water,0.332033
AGO,1998,Exposure,0.543063
AGO,1998,Vulnerability,0.495106875
AGO,1998,Readiness,0.17627099999999998
AGO,1998,CompositeRisk,0.626555725
AGO,1999,Capacity,0.76398
AGO,1999,Economic,0.289057
AGO,1999,Ecosystems,0.541992
AGO,1999,Food,0.623049
AGO,1999,Governance,0.151711
AGO,1999,Habitat,0.645445
AGO,1999,Health,0.504004
AGO,1999,Infrastructure,0.317876
AGO,1999,Sensitivity,0.233024
AGO,1999,Social,0.086057
AGO,1999,Water,0.33253
AGO,1999,Exposure,0.543063
AGO,1999,Vulnerability,0.4952375
AGO,1999,Readiness,0.17560833333333334
AGO,1999,CompositeRisk,0.6268991666666667
AGO,2000,Capacity,0.764927
AGO,2000,Economic,0.289057
AGO,2000,Ecosystems,0.541992
AGO,2000,Food,0.621427
AGO,2000,Governance,0.149749
AGO,2000,Habitat,0.648038
AGO,2000,Health,0.504004
AGO,2000,Infrastructure,0.317876
AGO,2000,Sensitivity,0.232922
AGO,2000,Social,0.086181
AGO,2000,Water,0.333014
AGO,2000,Exposure,0.543063
AGO,2000,Vulnerability,0.495525
AGO,2000,Readiness,0.17499566666666666
AGO,2000,CompositeRisk,0.6273167333333334
AGO,2001,Capacity,0.769502
AGO,2001,Economic,0.289057
AGO,2001,Ecosystems,0.541992
AGO,2001,Food,0.619464
AGO,2001,Governance,0.154581
AGO,2001,Habitat,0.649885
AGO,2001,Health,0.510067
AGO,2001,Infrastructure,0.325528
AGO,2001,Sensitivity,0.235601
AGO,2001,Social,0.09434
AGO,2001,Water,0.333489
AGO,2001,Exposure,0.543063
AGO,2001,Vulnerability,0.498191
AGO,2001,Readiness,0.17932599999999999
AGO,2001,CompositeRisk,0.6271842000000001
AGO,2002,Capacity,0.763463
AGO,2002,Economic,0.289057
AGO,2002,Ecosystems,0.541992
AGO,2002,Food,0.6175
AGO,2002,Governance,0.159412
AGO,2002,Habitat,0.651707
AGO,2002,Health,0.509054
AGO,2002,Infrastructure,0.315497
AGO,2002,Sensitivity,0.235319
AGO,2002,Social,0.102567
AGO,2002,Water,0.333956
AGO,2002,Exposure,0.543063
AGO,2002,Vulnerability,0.49606100000000003
AGO,2002,Readiness,0.18367866666666666
AGO,2002,CompositeRisk,0.6241651333333333
AGO,2003,Capacity,0.762906
AGO,2003,Economic,0.289057
AGO,2003,Ecosystems,0.541992
AGO,2003,Food,0.615925
AGO,2003,Governance,0.118028
AGO,2003,Habitat,0.653505
AGO,2003,Health,0.507439
AGO,2003,Infrastructure,0.314223
AGO,2003,Sensitivity,0.234778
AGO,2003,Social,0.113913
AGO,2003,Water,0.334418
AGO,2003,Exposure,0.543063
AGO,2003,Vulnerability,0.49564825
AGO,2003,Readiness,0.173666
AGO,2003,CompositeRisk,0.6279225500000001
AGO,2004,Capacity,0.755051
AGO,2004,Economic,0.289057
AGO,2004,Ecosystems,0.541992
AGO,2004,Food,0.613667
AGO,2004,Governance,0.108345
AGO,2004,Habitat,0.655313
AGO,2004,Health,0.512819
AGO,2004,Infrastructure,0.313118
AGO,2004,Sensitivity,0.237351
AGO,2004,Social,0.121428
AGO,2004,Water,0.321369
AGO,2004,Exposure,0.543063
AGO,2004,Vulnerability,0.493835
AGO,2004,Readiness,0.17294333333333334
AGO,2004,CompositeRisk,0.6271236666666666
AGO,2005,Capacity,0.754721
AGO,2005,Economic,0.240121
AGO,2005,Ecosystems,0.541992
AGO,2005,Food,0.61193
AGO,2005,Governance,0.120852
AGO,2005,Habitat,0.657155
AGO,2005,Health,0.526335
AGO,2005,Infrastructure,0.312012
AGO,2005,Sensitivity,0.243146
AGO,2005,Social,0.131725
AGO,2005,Water,0.322302
AGO,2005,Exposure,0.543063
AGO,2005,Vulnerability,0.496199125
AGO,2005,Readiness,0.16423266666666667
AGO,2005,CompositeRisk,0.6320264083333333
AGO,2006,Capacity,0.754211
AGO,2006,Economic,0.13244
AGO,2006,Ecosystems,0.541992
AGO,2006,Food,0.610814
AGO,2006,Governance,0.139741
AGO,2006,Habitat,0.658327
AGO,2006,Health,0.551158
AGO,2006,Infrastructure,0.310738
AGO,2006,Sensitivity,0.253678
AGO,2006,Social,0.141708
AGO,2006,Water,0.323197
AGO,2006,Exposure,0.543063
AGO,2006,Vulnerability,0.500514375
AGO,2006,Readiness,0.137963
AGO,2006,CompositeRisk,0.645123425
AGO,2007,Capacity,0.747764
AGO,2007,Economic,0.137993
AGO,2007,Ecosystems,0.541992
AGO,2007,Food,0.609762
AGO,2007,Governance,0.124459
AGO,2007,Habitat,0.659553
AGO,2007,Health,0.536461
AGO,2007,Infrastructure,0.299529
AGO,2007,Sensitivity,0.247774
AGO,2007,Social,0.153349
AGO,2007,Water,0.324073
AGO,2007,Exposure,0.543063
AGO,2007,Vulnerability,0.4958635
AGO,2007,Readiness,0.13860033333333335
AGO,2007,CompositeRisk,0.6420779666666667
AGO,2008,Capacity,0.750395
AGO,2008,Economic,0.13518
AGO,2008,Ecosystems,0.542216
AGO,2008,Food,0.599537
AGO,2008,Governance,0.124167
AGO,2008,Habitat,0.668855
AGO,2008,Health,0.541267
AGO,2008,Infrastructure,0.298424
AGO,2008,Sensitivity,0.247036
AGO,2008,Social,0.16472
AGO,2008,Water,0.324924
AGO,2008,Exposure,0.543063
AGO,2008,Vulnerability,0.49658175000000004
AGO,2008,Readiness,0.14135566666666666
AGO,2008,CompositeRisk,0.6414067833333333
AGO,2009,Capacity,0.75731
AGO,2009,Economic,0.150504
AGO,2009,Ecosystems,0.542149
AGO,2009,Food,0.594616
AGO,2009,Governance,0.103701
AGO,2009,Habitat,0.678229
AGO,2009,Health,0.553729
AGO,2009,Infrastructure,0.306917
AGO,2009,Sensitivity,0.253249
AGO,2009,Social,0.167746
AGO,2009,Water,0.325748
AGO,2009,Exposure,0.543063
AGO,2009,Vulnerability,0.501493375
