,Country,Indicator,Order,AIC,BIC
345,BRN,Readiness,"(1, 1, 2)",-129.63954903514298,-124.31073099444217
346,BRN,Sensitivity,"(1, 0, 0)",-237.9886768557965,-233.8867893658371
347,BRN,Social,"(1, 1, 0)",-140.21458420913754,-137.55017518878714
348,BRN,Vulnerability,"(1, 0, 0)",-244.73624932214042,-240.634361832181
349,BRN,Water,"(3, 0, 2)",-567.789417349066,-558.2183465391606
350,BTN,Capacity,"(2, 0, 1)",-203.4486668850174,-196.61218773508503
351,BTN,Economic,"(0, 1, 0)",-132.3642381479178,-131.0320336377426
352,BTN,Ecosystems,"(1, 0, 0)",-286.12100849796315,-282.0191210080037
353,BTN,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
354,BTN,Food,"(2, 0, 1)",-217.45378399267943,-210.61730484274707
355,BTN,Governance,"(1, 0, 0)",-94.84376730032109,-90.74187981036167
356,BTN,Habitat,"(1, 0, 1)",-238.47073210255763,-233.00154878261174
357,BTN,Health,"(1, 0, 0)",-116.89254667951606,-112.79065918955664
358,BTN,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
359,BTN,Readiness,"(0, 1, 0)",-143.55267775100182,-142.2204732408266
360,BTN,Sensitivity,"(1, 0, 0)",-151.04407976429297,-146.94219227433356
361,BTN,Social,"(3, 0, 0)",-241.77267241117102,-234.93619326123866
362,BTN,Vulnerability,"(1, 0, 0)",-202.6442969813957,-198.5424094914363
363,BTN,Water,"(3, 0, 1)",-279.5396868531658,-271.33591187324697
364,BWA,Capacity,"(1, 1, 0)",-171.45971478373343,-168.79530576338303
365,BWA,Economic,"(1, 0, 2)",-151.021826963484,-144.18534781355163
366,BWA,Ecosystems,"(2, 0, 0)",-252.4154957133486,-246.9463123934027
367,BWA,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
368,BWA,Food,"(2, 0, 0)",-204.70780678536366,-199.23862346541776
369,BWA,Governance,"(2, 0, 0)",-118.35425019367213,-112.88506687372623
370,BWA,Habitat,"(3, 0, 1)",-225.85578597555164,-217.6520109956328
371,BWA,Health,"(0, 1, 0)",-157.3155719447766,-155.98336743460138
372,BWA,Infrastructure,"(0, 1, 0)",-140.96004294400876,-139.62783843383355
373,BWA,Readiness,"(2, 0, 0)",-169.3512276447938,-163.8820443248479
374,BWA,Sensitivity,"(0, 1, 0)",-198.74948829243556,-197.41728378226034
