Country,Year,Feature,SHAP_Value
MKD,2000,Ecosystems,-0.00445792408823343
MKD,2001,Ecosystems,-0.004830241186347488
MKD,2002,Ecosystems,-0.005220368886686721
MKD,2003,Ecosystems,-0.004505562139589647
MKD,2004,Ecosystems,-0.004306327020543546
MKD,2005,Ecosystems,-0.0035442742784754216
MKD,2006,Ecosystems,-0.0031908958472687335
MKD,2007,Ecosystems,-0.0028112966846209576
MKD,2008,Ecosystems,-0.0026536128795015684
MKD,2009,Ecosystems,-0.002519650578764069
MKD,2010,Ecosystems,-0.002452884099456696
MKD,2011,Ecosystems,-0.002392575502954348
MKD,2012,Ecosystems,-0.0018855397648984752
MKD,2013,Ecosystems,-0.00208542906067582
MKD,2014,Ecosystems,-0.0017081239831136892
MKD,2015,Ecosystems,-0.0018216545464239428
MKD,2016,Ecosystems,-0.002386201914352033
MKD,2017,Ecosystems,-0.0024378671056144853
MKD,2018,Ecosystems,-0.002380937857973669
MKD,2019,Ecosystems,-0.002330248838011251
MKD,2020,Ecosystems,-0.0023112749441940067
MKD,2021,Ecosystems,-0.0019038905785375183
MKD,2022,Ecosystems,-0.0018773357109184252
MKD,2023,Ecosystems,-0.001905773714525692
MKD,2024,Ecosystems,-0.0019260529934563295
MKD,2025,Ecosystems,-0.0020823911097615534
MKD,2026,Ecosystems,-0.0024253483913278056
MKD,2027,Ecosystems,-0.0024184345396921648
MKD,2028,Ecosystems,-0.002359541389572435
MKD,2029,Ecosystems,-0.002314675417232826
MKD,2030,Ecosystems,-0.0025944360398287548
MKD,2031,Ecosystems,-0.002667194543714641
MKD,2032,Ecosystems,-0.002788353120807725
MKD,2033,Ecosystems,-0.0028597885603336773
MKD,2034,Ecosystems,-0.0029270143234841166
MKD,2035,Ecosystems,-0.003252136021131117
MKD,2036,Ecosystems,-0.0033589464893611963
MKD,2037,Ecosystems,-0.0033345253555696897
MKD,2038,Ecosystems,-0.0033015691649144405
MKD,2039,Ecosystems,-0.0033221027791009456
MKD,2040,Ecosystems,-0.003342398489161738
MLI,1995,Ecosystems,-0.0004987563948675759
MLI,1996,Ecosystems,-0.0007832511435003572
MLI,1997,Ecosystems,-0.0009131917254443821
MLI,1998,Ecosystems,-0.0009757610708313661
MLI,1999,Ecosystems,-0.0012547972146441336
MLI,2000,Ecosystems,-0.001206451254845728
MLI,2001,Ecosystems,-0.0006155952539745324
MLI,2002,Ecosystems,-0.0001920986556305192
MLI,2003,Ecosystems,0.0007755267282744762
MLI,2004,Ecosystems,0.001000028698177528
MLI,2005,Ecosystems,0.0010519027435108529
MLI,2006,Ecosystems,0.0018346900543432516
MLI,2007,Ecosystems,0.0017222097328296365
MLI,2008,Ecosystems,0.0009362140969178897
MLI,2009,Ecosystems,0.0009575138381398049
MLI,2010,Ecosystems,2.06260850926206e-05
MLI,2011,Ecosystems,0.0004822909685270983
MLI,2012,Ecosystems,0.0007611685422659952
MLI,2013,Ecosystems,0.0005725066813238941
MLI,2014,Ecosystems,0.0002840354537161061
MLI,2015,Ecosystems,4.6261263774137755e-05
MLI,2016,Ecosystems,-0.0002354787773596902
MLI,2017,Ecosystems,-0.00022958588601082225
MLI,2018,Ecosystems,-0.00031428307950973186
